Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,BldgType,HouseStyle,OverallQual,OverallCond,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrArea,ExterQual,ExterCond,Foundation,Bsmt,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,GarageCars,GarageArea,Garage,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
11,20,3,70.0,11200,1,3,3,0,4,0,19,0,2,5,5,3,1,6,6,0.0,3,4,1,1,906,0,134,1040,1,0,1,4.0,1040,0,0,1040,1,0,1,0,3,1,3,5,6,0,1,384,1,2,0,0,0,0,0,0,0,2,2008,8,4,129500
12,60,3,85.0,11924,1,0,3,0,4,0,16,0,5,9,5,3,1,14,15,286.0,0,4,2,0,998,0,177,1175,1,0,1,4.0,1182,1142,0,2324,1,0,3,0,4,1,0,11,6,2,3,736,1,2,147,21,0,0,0,0,0,7,2006,6,5,345000
13,20,3,82.08161163330078,12968,1,1,3,0,4,0,19,0,2,5,6,3,1,6,10,0.0,3,4,1,1,737,0,175,912,1,4,1,4.0,912,0,0,912,1,0,1,0,2,1,3,4,6,0,1,352,1,2,140,0,0,0,176,0,0,9,2008,8,4,144000
14,20,3,91.0,10652,1,0,3,0,4,0,5,0,2,7,5,1,1,12,13,306.0,2,4,2,1,0,0,1494,1494,1,0,1,4.0,1494,0,0,1494,0,0,2,0,3,1,2,7,6,1,3,840,1,2,160,33,0,0,0,0,0,8,2007,6,5,279500
15,20,3,89.97789001464844,10920,1,0,3,0,0,0,12,0,2,6,5,3,1,8,8,212.0,3,4,1,1,733,0,520,1253,1,4,1,4.0,1253,0,0,1253,1,0,1,1,2,1,3,5,6,1,1,352,1,2,0,213,176,0,0,0,0,5,2008,8,4,157000
16,45,4,51.0,6120,1,3,3,0,0,0,3,0,1,7,8,1,1,13,14,0.0,3,4,0,1,0,0,832,832,1,0,1,0.0,854,0,0,854,0,0,1,0,2,1,3,5,6,0,2,576,1,2,48,112,0,0,0,0,0,7,2007,8,4,132000
17,20,3,66.34683990478516,11241,1,0,3,0,1,0,12,0,2,6,7,1,1,13,14,180.0,3,4,1,1,578,0,426,1004,1,0,1,4.0,1004,0,0,1004,1,0,1,0,2,1,3,5,6,1,2,480,1,2,0,0,0,0,0,0,700,3,2010,8,4,149000
18,90,3,72.0,10791,1,3,3,0,4,0,19,2,2,4,5,1,1,8,8,0.0,3,4,3,0,0,0,0,0,1,4,1,4.0,1296,0,0,1296,0,0,2,0,2,2,3,6,6,0,2,516,1,2,0,0,0,0,0,0,500,10,2006,8,4,90000
19,20,3,66.0,13695,1,3,3,0,4,0,20,0,2,5,5,1,1,12,13,0.0,3,4,2,1,646,0,468,1114,1,0,1,4.0,1114,0,0,1114,1,0,1,1,3,1,2,6,6,0,2,576,1,2,0,102,0,0,0,0,0,6,2008,8,4,159000
20,20,3,70.0,7560,1,3,3,0,4,0,12,0,2,5,6,3,1,3,10,0.0,3,4,1,1,504,0,525,1029,1,4,1,4.0,1339,0,0,1339,0,0,1,0,3,1,3,6,2,0,1,294,1,2,0,0,0,0,0,0,0,5,2009,0,0,139000
21,60,3,101.0,14215,1,0,3,0,0,0,16,0,5,8,5,1,1,12,13,380.0,2,4,2,0,0,0,1158,1158,1,0,1,4.0,1158,1218,0,2376,0,0,3,1,4,1,2,9,6,1,3,853,1,2,240,154,0,0,0,0,0,11,2006,6,5,325300
22,45,4,57.0,7449,1,3,0,0,4,0,9,0,1,7,7,1,1,13,14,0.0,3,4,2,1,0,0,637,637,1,0,1,1.0,1108,0,0,1108,0,0,1,0,3,1,2,6,6,1,1,280,1,0,0,0,205,0,0,0,0,6,2007,8,4,139400
23,20,3,75.0,9742,1,3,3,0,4,0,5,0,2,8,5,3,1,12,13,281.0,2,4,2,1,0,0,1777,1777,1,0,1,4.0,1795,0,0,1795,0,0,2,0,3,1,2,7,6,1,2,534,1,2,171,159,0,0,0,0,0,9,2008,8,4,230000
24,120,4,44.0,4224,1,3,3,0,4,0,10,4,2,5,7,1,1,5,5,0.0,3,4,2,1,840,0,200,1040,1,4,1,4.0,1060,0,0,1060,1,0,1,0,3,1,3,6,6,1,2,572,1,2,100,110,0,0,0,0,0,6,2007,8,4,129900
25,20,3,65.09012603759766,8246,1,0,3,0,4,0,19,0,2,5,8,1,1,9,10,0.0,3,2,1,1,188,668,204,1060,1,0,1,4.0,1060,0,0,1060,1,0,1,0,3,1,2,6,6,1,1,270,1,2,406,90,0,0,0,0,0,5,2010,8,4,154000
26,20,3,110.0,14230,1,3,3,0,0,0,16,0,2,8,5,1,1,12,13,640.0,2,4,2,1,0,0,1566,1566,1,0,1,4.0,1600,0,0,1600,0,0,2,0,3,1,2,7,6,1,3,890,1,2,0,56,0,0,0,0,0,7,2009,8,4,256300
27,20,3,60.0,7200,1,3,3,0,0,0,12,0,2,5,7,1,1,13,14,0.0,3,4,1,1,234,486,180,900,1,4,1,4.0,900,0,0,900,0,1,1,0,3,1,2,5,6,0,2,576,1,2,222,32,0,0,0,0,0,5,2010,8,4,134800
28,20,3,98.0,11478,1,3,3,0,4,0,16,0,2,8,5,1,1,12,13,200.0,2,4,2,0,1218,0,486,1704,1,0,1,4.0,1704,0,0,1704,1,0,2,0,3,1,2,7,6,1,3,772,1,2,0,50,0,0,0,0,0,5,2010,8,4,306000
29,20,3,47.0,16321,1,0,3,0,1,0,12,0,2,5,6,1,1,8,8,0.0,3,4,1,1,1277,0,207,1484,1,4,1,4.0,1600,0,0,1600,1,0,1,0,2,1,3,6,6,2,1,319,1,2,288,258,0,0,0,0,0,12,2006,8,4,207500
30,30,4,60.0,6324,1,0,3,0,4,0,3,0,2,4,6,1,1,8,8,0.0,3,4,0,1,0,0,520,520,1,1,0,4.0,520,0,0,520,0,0,1,0,1,1,1,4,6,0,1,240,1,2,49,0,87,0,0,0,0,5,2008,8,4,68500
31,70,0,50.0,8500,1,3,3,0,4,0,9,0,5,4,4,2,1,3,3,0.0,3,1,0,1,0,0,649,649,1,4,0,4.0,649,668,0,1317,0,0,1,0,3,1,3,6,6,0,1,250,1,0,0,54,172,0,0,0,0,7,2008,8,4,40000
32,20,3,63.94031524658203,8544,1,0,3,0,1,0,19,0,2,5,6,1,1,6,6,0.0,3,4,1,1,0,0,1228,1228,1,2,1,4.0,1228,0,0,1228,0,0,1,1,3,1,2,6,6,0,1,271,1,2,0,65,0,0,0,0,0,6,2008,8,4,149350
33,20,3,85.0,11049,1,3,3,0,0,0,5,0,2,8,5,1,1,12,13,0.0,2,4,2,0,0,0,1234,1234,1,0,1,4.0,1234,0,0,1234,0,0,2,0,3,1,2,7,6,0,2,484,1,2,0,30,0,0,0,0,0,1,2008,8,4,179900
34,20,3,70.0,10552,1,0,3,0,4,0,12,0,2,5,5,3,1,3,3,0.0,3,4,1,1,1018,0,380,1398,1,2,1,4.0,1700,0,0,1700,0,1,1,1,4,1,2,6,6,1,2,447,1,2,0,38,0,0,0,0,0,4,2010,8,4,165500
35,120,3,60.0,7313,1,3,3,0,4,0,16,4,2,9,5,3,1,8,8,246.0,0,4,2,0,1153,0,408,1561,1,0,1,4.0,1561,0,0,1561,1,0,2,0,2,1,0,6,6,1,2,556,1,2,203,47,0,0,0,0,0,8,2007,8,4,277500
36,60,3,108.0,13418,1,3,3,0,4,0,16,0,5,8,5,1,1,12,13,132.0,2,4,2,0,0,0,1117,1117,1,0,1,4.0,1132,1320,0,2452,0,0,3,1,4,1,2,9,6,1,3,691,1,2,113,32,0,0,0,0,0,9,2006,8,4,309000
37,20,3,112.0,10859,1,3,3,0,0,0,5,0,2,5,5,1,1,12,13,0.0,3,4,2,1,0,0,1097,1097,1,0,1,4.0,1097,0,0,1097,0,0,1,1,3,1,3,6,6,0,2,672,1,2,392,64,0,0,0,0,0,6,2009,8,4,145000
38,20,3,74.0,8532,1,3,3,0,4,0,12,0,2,5,6,3,1,13,14,650.0,3,4,1,1,1213,0,84,1297,1,2,1,4.0,1297,0,0,1297,0,1,1,0,3,1,3,5,6,1,2,498,1,2,0,0,0,0,0,0,0,10,2009,8,4,153000
39,20,3,68.0,7922,1,3,3,0,4,0,12,0,2,5,7,1,1,12,13,0.0,3,2,1,1,731,0,326,1057,1,4,1,4.0,1057,0,0,1057,1,0,1,0,3,1,2,5,6,0,1,246,1,2,0,52,0,0,0,0,0,1,2010,8,0,109000
40,90,3,65.0,6040,1,3,3,0,4,0,7,2,2,4,5,1,1,0,10,0.0,3,4,2,0,0,0,0,0,1,4,0,2.0,1152,0,0,1152,0,0,2,0,2,2,1,6,6,0,0,0,0,0,0,0,0,0,0,0,0,6,2008,8,1,82000
41,20,3,84.0,8658,1,3,3,0,4,0,12,0,2,6,5,1,1,13,14,101.0,3,4,1,1,643,0,445,1088,1,0,1,4.0,1324,0,0,1324,0,0,2,0,3,1,3,6,6,1,2,440,1,2,0,138,0,0,0,0,0,12,2006,8,0,160000
42,20,3,115.0,16905,1,3,3,0,4,0,23,0,2,5,6,1,1,12,13,0.0,3,2,1,1,967,0,383,1350,1,2,1,4.0,1328,0,0,1328,0,1,1,1,2,1,3,5,6,2,1,308,1,1,0,104,0,0,0,0,0,7,2007,8,4,170000
43,85,3,67.63739013671875,9180,1,0,3,0,1,0,20,0,6,5,7,1,1,6,6,0.0,3,4,1,1,747,93,0,840,1,2,1,4.0,884,0,0,884,1,0,1,0,2,1,2,5,6,0,2,504,1,2,240,0,0,0,0,0,0,12,2007,8,4,144000
44,20,3,68.813720703125,9200,1,0,3,0,1,0,5,0,2,5,6,3,1,12,13,0.0,3,4,1,1,280,491,167,938,1,4,1,4.0,938,0,0,938,1,0,1,0,3,1,3,5,6,0,1,308,1,2,145,0,0,0,0,0,0,7,2008,8,4,130250
45,20,3,70.0,7945,1,3,3,0,4,0,12,0,2,5,6,1,1,3,14,0.0,3,4,1,1,179,506,465,1150,1,0,1,0.0,1150,0,0,1150,1,0,1,0,3,1,3,6,6,0,1,300,1,2,0,0,0,0,0,0,0,5,2006,8,4,141000
46,120,3,61.0,7658,1,3,3,0,4,0,16,4,2,9,5,3,1,8,8,412.0,0,4,2,0,456,0,1296,1752,1,0,1,4.0,1752,0,0,1752,1,0,2,0,2,1,0,6,6,1,2,576,1,2,196,82,0,0,0,0,0,2,2010,8,4,319900
47,50,3,48.0,12822,1,0,3,0,1,0,11,0,0,7,5,1,1,12,13,0.0,2,4,2,0,1351,0,83,1434,1,0,1,4.0,1518,631,0,2149,1,0,1,1,1,1,2,6,6,1,2,670,1,2,168,43,0,0,198,0,0,8,2009,8,0,239686
48,20,1,84.0,11096,1,3,3,0,4,0,21,0,2,8,5,1,1,12,13,0.0,2,4,2,1,24,0,1632,1656,1,0,1,4.0,1656,0,0,1656,0,0,2,0,3,1,2,7,6,0,3,826,1,2,0,146,0,0,0,0,0,7,2007,8,4,249700
49,190,4,33.0,4456,1,3,3,0,4,0,17,1,5,4,5,1,1,8,8,0.0,3,4,0,1,0,0,736,736,1,2,1,4.0,736,716,0,1452,0,0,2,0,2,3,3,8,6,0,0,0,0,0,0,0,102,0,0,0,0,6,2009,6,5,113000
50,20,3,66.0,7742,1,3,3,0,4,0,19,0,2,5,7,1,1,6,6,0.0,3,4,1,1,763,0,192,955,1,0,1,4.0,955,0,0,955,1,0,1,0,3,1,3,6,6,0,1,386,1,2,0,0,0,0,0,0,0,1,2007,8,4,127000
51,60,3,91.88932037353516,13869,1,1,3,0,0,0,8,0,5,6,6,1,1,12,13,0.0,3,4,2,1,182,0,612,794,1,2,1,4.0,794,676,0,1470,0,1,2,0,3,1,3,6,6,0,2,388,1,2,0,75,0,0,0,0,0,7,2007,8,4,177000
52,50,4,52.0,6240,1,3,3,0,4,0,3,0,0,6,6,1,1,13,14,0.0,3,4,2,1,0,0,816,816,1,4,1,4.0,816,0,360,1176,0,0,1,0,3,1,3,6,6,1,2,528,1,2,112,0,0,0,0,0,400,9,2006,8,4,114500
53,90,4,110.0,8472,0,1,0,0,0,1,9,2,2,5,5,1,1,13,14,0.0,1,4,1,1,104,712,0,816,1,4,0,4.0,816,0,0,816,1,0,1,0,2,1,3,5,6,0,2,516,1,2,106,0,0,0,0,0,0,5,2010,8,4,110000
54,20,3,68.0,50271,1,0,2,0,4,0,24,0,2,9,5,1,7,14,15,0.0,2,4,1,0,1810,0,32,1842,1,2,1,4.0,1842,0,0,1842,2,0,0,1,0,1,2,5,6,1,3,894,1,2,857,72,0,0,0,0,0,11,2006,8,4,385000
55,80,3,60.0,7134,1,3,0,0,4,1,12,0,7,5,5,1,1,8,8,0.0,3,4,1,1,384,0,0,384,1,4,1,4.0,1360,0,0,1360,0,0,1,0,3,1,3,6,2,1,2,572,1,2,0,50,0,0,0,0,0,2,2007,8,4,130000
56,20,3,100.0,10175,1,0,3,0,4,0,12,0,2,6,5,1,1,6,10,272.0,3,4,1,1,490,0,935,1425,1,2,1,4.0,1425,0,0,1425,0,0,2,0,3,1,3,7,6,1,2,576,1,2,0,0,0,407,0,0,0,7,2008,8,4,180500
57,160,1,24.0,2645,1,3,3,0,4,0,21,3,5,8,5,1,1,8,8,456.0,2,4,2,1,649,0,321,970,1,0,1,4.0,983,756,0,1739,1,0,2,1,3,1,2,7,6,0,2,480,1,2,115,0,0,0,0,0,0,8,2009,8,0,172500
58,60,3,89.0,11645,1,0,3,0,0,0,5,0,5,7,5,1,1,12,13,0.0,2,4,2,1,0,0,860,860,1,0,1,4.0,860,860,0,1720,0,0,2,1,3,1,2,7,6,0,2,565,1,2,0,70,0,0,0,0,0,8,2006,8,4,196500
59,60,3,66.0,13682,1,1,1,0,1,0,22,0,5,10,5,3,1,12,13,1031.0,0,4,2,0,0,0,1410,1410,1,0,1,4.0,1426,1519,0,2945,0,0,3,1,3,1,2,10,6,1,3,641,1,2,192,0,37,0,0,0,0,10,2006,6,5,438780
60,20,3,60.0,7200,1,3,0,0,4,0,5,0,2,5,7,1,1,6,6,0.0,3,4,1,1,632,0,148,780,1,0,1,4.0,780,0,0,780,0,0,1,0,2,1,3,4,6,0,1,352,1,2,196,0,0,0,0,0,0,1,2008,8,4,124900
61,20,3,63.0,13072,1,3,3,0,4,0,20,0,2,6,5,1,1,12,13,0.0,3,4,2,1,941,0,217,1158,1,0,1,4.0,1158,0,0,1158,1,0,1,1,3,1,2,5,6,0,2,576,1,2,0,50,0,0,0,0,0,5,2006,6,5,158000
62,75,4,60.0,7200,1,3,3,0,4,0,9,0,4,5,7,1,1,8,8,0.0,3,4,0,1,0,0,530,530,1,4,0,4.0,581,530,0,1111,0,0,1,0,3,1,1,6,6,0,1,288,1,0,0,0,144,0,0,0,0,3,2007,8,4,101000
63,120,3,44.0,6442,1,0,3,0,4,0,16,4,2,8,5,1,1,12,13,178.0,2,4,2,1,24,0,1346,1370,1,0,1,4.0,1370,0,0,1370,0,0,2,0,2,1,2,6,6,1,2,484,1,2,120,49,0,0,0,0,0,10,2007,8,4,202500
64,70,4,50.0,10300,1,0,0,0,4,0,17,0,5,7,6,1,1,11,12,0.0,3,4,0,1,0,0,576,576,1,2,1,4.0,902,808,0,1710,0,0,2,0,3,1,3,9,6,0,2,480,1,2,12,11,64,0,0,0,0,4,2010,8,4,140000
65,60,3,75.79183959960938,9375,1,3,3,0,4,0,5,0,5,7,5,1,1,12,13,573.0,3,4,2,1,739,0,318,1057,1,0,1,4.0,1057,977,0,2034,1,0,2,1,3,1,2,8,6,0,2,645,1,2,576,36,0,0,0,0,0,2,2009,8,4,219500
66,60,3,76.0,9591,1,3,3,0,4,0,16,0,5,8,5,1,1,12,13,344.0,2,4,2,0,0,0,1143,1143,1,0,1,4.0,1143,1330,0,2473,0,0,2,1,4,1,2,9,6,1,3,852,1,2,192,151,0,0,0,0,0,10,2007,8,4,317000
67,20,3,215.47377014160156,19900,1,3,3,0,4,0,12,0,2,7,5,1,1,9,10,287.0,3,4,1,1,912,0,1035,1947,1,4,1,4.0,2207,0,0,2207,1,0,2,0,3,1,3,7,2,1,2,576,1,2,301,0,0,0,0,0,0,7,2010,8,4,180000
68,20,3,72.0,10665,1,0,3,0,4,0,5,0,2,7,5,1,1,12,13,167.0,2,4,2,1,1013,0,440,1453,1,0,1,4.0,1479,0,0,1479,1,0,2,0,3,1,2,7,6,0,2,558,1,2,144,29,0,0,0,0,0,6,2007,8,4,226000
69,30,4,47.0,4608,1,3,3,0,0,0,17,0,2,4,6,1,1,8,8,0.0,3,2,1,1,0,0,747,747,1,4,1,4.0,747,0,0,747,0,0,1,0,2,1,3,4,6,0,1,220,1,2,0,0,0,0,0,0,0,6,2010,8,4,80000
70,50,3,81.0,15593,1,3,3,0,0,0,4,0,0,7,4,1,1,3,0,0.0,2,4,1,1,603,0,701,1304,2,4,1,4.0,1304,983,0,2287,0,0,2,0,3,1,3,7,6,1,2,667,1,2,0,21,114,0,0,0,0,7,2006,8,4,225000
71,20,3,95.0,13651,1,0,3,0,4,0,12,0,2,7,6,1,1,9,10,1115.0,3,2,1,1,1880,0,343,2223,1,0,1,4.0,2223,0,0,2223,1,0,2,0,3,1,3,8,6,2,2,516,1,2,300,0,0,0,0,0,0,2,2007,8,4,244000
72,20,3,69.0,7599,1,3,3,0,0,0,11,0,2,4,6,1,1,6,10,0.0,3,4,1,1,565,0,280,845,1,4,1,4.0,845,0,0,845,1,0,1,0,2,1,3,4,6,0,2,360,1,2,0,0,0,0,0,0,0,6,2007,8,4,129500
73,60,3,74.0,10141,1,0,3,0,0,0,8,0,5,7,5,1,1,12,13,40.0,3,4,2,1,0,0,832,832,1,2,1,4.0,885,833,0,1718,0,0,2,1,3,1,3,7,6,1,2,427,1,2,0,94,0,0,291,0,0,12,2009,8,4,185000
74,20,3,85.0,10200,1,3,3,0,4,0,12,0,2,5,7,1,1,13,14,104.0,3,4,1,1,320,362,404,1086,1,2,1,4.0,1086,0,0,1086,1,0,1,0,3,1,3,6,6,0,2,490,1,2,0,0,0,0,0,0,0,5,2010,8,4,144900
75,50,4,60.0,5790,1,3,3,0,0,0,17,0,5,3,6,2,1,12,13,0.0,2,2,1,1,0,0,840,840,1,2,0,4.0,840,765,0,1605,0,0,2,0,3,2,3,8,6,0,1,379,1,2,0,0,202,0,0,0,0,5,2010,8,4,107400
76,180,4,21.0,1596,1,3,3,0,4,0,10,3,7,4,5,1,1,5,5,0.0,3,4,1,1,462,0,0,462,1,4,1,4.0,526,462,0,988,1,0,1,0,2,1,3,5,6,0,1,297,1,2,120,101,0,0,0,0,0,11,2009,8,4,91000
77,20,3,58.04743194580078,8475,1,0,3,0,4,0,12,0,2,4,7,1,1,12,13,0.0,3,4,1,1,228,0,724,952,1,0,1,0.0,952,0,0,952,0,0,1,0,2,1,3,4,6,0,1,283,1,2,0,0,0,0,0,0,0,4,2008,8,4,135750
78,50,4,50.0,8635,1,3,3,0,4,0,3,0,0,5,5,1,1,13,14,0.0,3,4,1,1,336,41,295,672,1,4,1,4.0,1072,213,0,1285,1,0,1,0,2,1,3,6,2,0,1,240,1,2,0,0,0,0,0,0,0,1,2008,8,4,127000
79,90,3,72.0,10778,1,3,3,0,4,0,19,2,2,4,5,3,1,6,6,0.0,3,4,1,1,0,0,1768,1768,1,4,0,4.0,1768,0,0,1768,0,0,2,0,4,2,3,8,6,0,0,0,0,2,0,0,0,0,0,0,0,4,2010,8,4,136500
80,50,4,60.0,10440,1,3,3,0,0,0,17,0,5,5,6,1,1,13,14,0.0,3,4,2,1,0,0,440,440,1,2,1,4.0,682,548,0,1230,0,0,1,1,2,1,3,5,6,0,2,440,1,2,74,0,128,0,0,0,0,5,2009,8,4,110000
81,60,3,100.0,13000,1,3,3,0,0,0,12,0,5,6,6,1,1,12,13,576.0,3,2,1,1,448,0,448,896,1,4,1,4.0,1182,960,0,2142,0,0,2,1,4,1,2,8,6,1,1,509,1,2,0,72,0,0,252,0,0,6,2009,8,4,193500
82,120,4,32.0,4500,1,3,3,0,2,0,11,4,2,6,5,3,1,12,13,443.0,3,2,2,0,1201,0,36,1237,1,0,1,4.0,1337,0,0,1337,1,0,2,0,2,1,3,5,6,0,2,405,1,2,0,199,0,0,0,0,0,3,2006,8,4,153500
83,20,3,78.0,10206,1,3,3,0,4,0,21,0,2,8,5,1,1,12,13,468.0,3,4,2,1,33,0,1530,1563,1,0,1,4.0,1563,0,0,1563,0,0,2,0,3,1,2,6,6,1,3,758,1,2,144,99,0,0,0,0,0,10,2008,8,4,245000
84,20,3,80.0,8892,1,0,3,0,4,0,12,0,2,5,5,1,1,8,8,66.0,3,4,1,1,0,0,1065,1065,1,2,1,4.0,1065,0,0,1065,0,0,1,1,3,1,3,6,6,0,2,461,1,2,74,0,0,0,0,0,0,7,2007,0,4,126500
85,80,3,66.44377899169922,8530,1,0,3,0,4,0,8,0,7,7,5,1,1,6,6,22.0,3,4,2,1,0,0,384,384,1,2,1,4.0,804,670,0,1474,0,0,2,1,3,1,3,7,6,1,2,400,1,2,120,72,0,0,0,0,700,5,2009,8,4,168500
86,60,3,121.0,16059,1,3,3,0,0,0,15,0,5,8,5,3,1,6,6,284.0,2,4,1,1,0,0,1288,1288,1,0,1,4.0,1301,1116,0,2417,0,0,2,1,4,1,2,9,6,1,2,462,1,2,127,82,0,0,0,0,0,4,2006,8,4,260000
87,60,3,122.0,11911,1,1,3,0,4,0,8,0,5,6,5,1,1,12,13,0.0,2,4,2,1,0,0,684,684,1,0,1,4.0,684,876,0,1560,0,0,2,1,3,1,2,6,6,1,2,400,1,2,100,38,0,0,0,0,0,3,2009,8,4,174000
88,160,1,40.0,3951,1,3,3,0,0,0,21,4,5,6,5,1,1,12,13,76.0,2,4,2,1,0,0,612,612,1,0,1,4.0,612,612,0,1224,0,0,2,1,2,1,2,4,6,0,2,528,1,2,0,234,0,0,0,0,0,6,2009,6,5,164500
89,50,0,105.0,8470,1,0,3,0,0,0,9,0,0,3,2,3,1,9,10,0.0,1,1,1,1,0,0,1013,1013,1,4,0,4.0,1013,0,513,1526,0,0,1,0,2,1,1,6,6,0,0,0,0,0,0,0,156,0,0,0,0,10,2009,3,0,85000
90,20,3,60.0,8070,1,3,3,0,4,0,5,0,2,4,5,1,1,12,13,0.0,3,4,2,1,588,0,402,990,1,0,1,4.0,990,0,0,990,1,0,1,0,3,1,3,5,6,0,0,0,0,2,0,0,0,0,0,0,0,8,2007,8,4,123600
91,20,3,60.0,7200,1,3,3,0,4,0,12,0,2,4,5,1,1,3,14,0.0,3,4,3,0,0,0,0,0,1,4,1,0.0,1040,0,0,1040,0,0,1,0,2,1,3,4,6,0,2,420,1,2,0,29,0,0,0,0,0,7,2006,8,4,109900
92,20,3,85.0,8500,1,3,3,0,4,0,12,0,2,5,3,3,1,6,6,203.0,3,4,1,1,600,0,635,1235,1,4,1,4.0,1235,0,0,1235,0,0,1,0,2,1,3,6,6,0,2,480,1,2,0,0,0,0,0,0,0,12,2006,8,0,98600
93,30,3,80.0,13360,1,0,1,0,4,0,6,0,2,5,7,1,1,13,14,0.0,3,2,0,1,713,0,163,876,1,0,1,4.0,964,0,0,964,1,0,1,0,2,1,3,5,6,0,2,432,1,2,0,0,44,0,0,0,0,8,2009,8,4,163500
94,190,0,60.0,7200,1,3,3,0,0,0,17,1,4,6,6,3,1,8,8,0.0,3,4,0,1,1046,0,168,1214,2,0,0,4.0,1260,1031,0,2291,0,1,2,0,4,2,3,9,6,1,2,506,1,2,0,0,0,0,99,0,0,11,2007,8,4,133900
95,60,3,69.0,9337,1,0,3,0,4,0,5,0,5,6,5,1,1,12,13,0.0,3,2,2,1,648,0,176,824,1,0,1,4.0,905,881,0,1786,1,0,2,1,3,1,2,7,6,0,2,684,1,2,0,162,0,0,0,0,0,5,2007,8,4,204750
